title,price,marcas
"Smartphone Motorola Moto G15 256GB Verde 4G 6GB 6,7"" Câm. Dupla Selfie 8MP",2249.1,Motorola
"Smartphone Samsung Galaxy A15 6,5"" 128GB Azul Escuro 4G 4GB RAM Câm. Tripla 50MP + Selfie 13MP 5000mAh Dual Chip",691.2,Samsung
"Apple iPhone 15 128GB Azul 6,1"" 48MP iOS 5G",691.2,Apple
"Smartphone Motorola Moto g24 Power 128GB, 4GB RAM, 4GB Ram Boost, AI Camera 50MP, Bateria 6000 mAh",1619.1,Motorola
"Smartphone Motorola Moto G34 128GB Azul 5G 4GB RAM Boost 6,5"" Câm. Dupla + Selfie 16MP Dual Chip",679.0,Motorola
"Smartphone Motorola G04s 4G 128GB 4 GB RAM + 4GB RAM Boost Tela 6,6"" Câmera 50MP e Frontal 5MP Coral",898.2,Motorola
"Smartphone Motorola Moto G84 256GB Magenta 5G Snapdragon 695 8GB RAM 6,55"" Câm. Dupla + Selfie 16MP Dual Chip",939.0,Motorola
"Smartphone Samsung Galaxy A56 128GB 5G 8GB RAM Preto 6,7"" Câm Tripla + Selfie 12MP",836.1,Samsung
"Celular Samsung Galaxy M15 5G, 6.000mAh, Câmera Tripla até 50MP, 128GB",5299.0,Samsung
"Smartphone Samsung Galaxy S24 Ultra 6,8"" Galaxy AI 256GB Titânio Cinza 5G 12GB RAM Câm. Quádrupla 200MP + Selfie 12MP Bateria 5000mAh Dual Chip",1099.0,Samsung
"Smartphone Samsung Galaxy A16 128GB Verde Claro 5G 4GB RAM 6,7"" FHD+ Câm Tripla até 50MP + Selfie 13MP Bateria 5000mAh",809.1,Samsung
"Celular Samsung Galaxy A16 5G, 256GB + 8GB RAM, Câmera de até 50MP, Tela 6.7"", NFC, IP54, Bateria 5000 mAh",1749.0,Samsung
Smartphone Motorola Moto G35 5G 256GB 12GB Ram Boost e Camera 50MP com AI NFC Tela 6.7 com Superbrilho,1799.1,Motorola
Smartphone Motorola Moto G75 5G 256GB 16GB Ram Boost 50MP Sony Camera Moto AI Ultrarresistencia Militar,825.55,Motorola
"Celular Samsung Galaxy M35 5G, Câmera Tripla até 50MP, Selfie 50MP, Tela Super AMOLED + 6.6 120Hz, 256GB, 8GB RAM",4449.0,Samsung
"Smartphone Positivo S650 Twist 5 Max 128GB Chumbo 4G Octa-Core 2GB RAM 6,5"" Câm. Dupla + Selfie 8MP Dual Chip",679.15,Positivo
Smartphone xiaomi redmi 13c 4gb 128gb azul,881.1,Xiaomi
"Celular Samsung Galaxy A16, 256GB + 8GB RAM, Câmera de até 50MP, Tela 6.7"", NFC, IP54, Bateria 5000 mAh",679.0,Samsung
Smartphone Xiaomi Redmi Note 14 8GB 256GB,1349.1,Xiaomi
"Celular Realme C75 4G 256GB 8GB RAM Tela 6,72DOURADO",2159.1,Realme
Smartphone Navcity NP-752 Branco - Android 11 e Dual Chip,1052.1,Navcity
"Smartphone Samsung Galaxy A35 5G 128GB 6GB RAM Tela 6,6"" Câmera Tripla 50MP Frontal 13MP Azul Escuro",5823.0,Samsung
Smartphone Moto G15 256GB Grafite Vegan Leather Tela 6.7 Câmera Dupla 50MP Selfie 8MP Dual Chip Android 15 Motorola,1169.1,Motorola
