title,price,marcas
"Smartphone Samsung Galaxy A06 128GB 4GB RAM Azul Escuro 6,7"" Câm. Dupla + Selfie 8MP",,samsung
"Smartphone Samsung Galaxy A35 256GB Azul Claro 5G 8GB RAM 6,6"" Câm. Tripla + Selfie 13MP Dual Chip",,samsung
"Smartphone Motorola G04s 4G 128GB 4+4GB RAM Boost Tela 6,6"" Câmera 50MP e Frontal 5MP Grafite",,motorola
"Smartphone Samsung Galaxy A16 128GB Cinza 4GB RAM 6,7"" FHD+ Câm Tripla de até 50MP + Selfie 13MP Bateria 5000mAh",,samsung
"Smartphone Motorola Moto G15 256GB Verde 4G 6GB 6,7"" Câm. Dupla Selfie 8MP","ou R$ 2.249,10",motorola
"Smartphone Samsung Galaxy A15 6,5"" 128GB Azul Escuro 4G 4GB RAM Câm. Tripla 50MP + Selfie 13MP 5000mAh Dual Chip","ou R$ 691,20",samsung
"Apple iPhone 16 128GB Rosa 6,1"" 48MP iOS 5G",,apple
"Smartphone Motorola Moto G35 256GB Coral 5G 6GB RAM 5G 6,7"" Câm. Dupla + Selfie 16MP",,motorola
"Smartphone Samsung Galaxy A05s 6,7"" 128GB Preto 6GB RAM Câm. Tripla 50MP + Selfie 13MP Bateria 5000mAh Dual Chip",,samsung
"Smartphone Motorola Edge 50 Fusion 256GB Blue Teal 5G 8GB RAM 6,7"" Câmera Sony Dupla Selfie 32MP Dual Chip",,motorola
"Smartphone Samsung Galaxy A55 128GB Azul Escuro 5G 8GB RAM 6,6"" Câm. Tripla + Selfie 32MP Dual Chip",,samsung
"Celular Samsung Galaxy A05s 128GB, 6GB RAM, Tela Infinita de 6.7""",,samsung
"Apple iPhone 15 128GB Azul 6,1"" 48MP iOS 5G","ou R$ 691,20",apple
"Smartphone Motorola Moto g24 Power 128GB, 4GB RAM, 4GB Ram Boost, AI Camera 50MP, Bateria 6000 mAh","ou R$ 1.619,10",motorola
"Smartphone Motorola Moto G34 128GB Azul 5G 4GB RAM Boost 6,5"" Câm. Dupla + Selfie 16MP Dual Chip","ou R$ 679,00",motorola
"Smartphone Motorola G04s 4G 128GB 4 GB RAM + 4GB RAM Boost Tela 6,6"" Câmera 50MP e Frontal 5MP Coral","ou R$ 898,20",motorola
"Smartphone Motorola Moto G84 256GB Magenta 5G Snapdragon 695 8GB RAM 6,55"" Câm. Dupla + Selfie 16MP Dual Chip","ou R$ 939,00",motorola
"Smartphone Samsung Galaxy A56 128GB 5G 8GB RAM Preto 6,7"" Câm Tripla + Selfie 12MP","ou R$ 836,10",samsung
"Celular Samsung Galaxy M15 5G, 6.000mAh, Câmera Tripla até 50MP, 128GB","ou R$ 5.299,00",samsung
"Smartphone Samsung Galaxy S24 Ultra 6,8"" Galaxy AI 256GB Titânio Cinza 5G 12GB RAM Câm. Quádrupla 200MP + Selfie 12MP Bateria 5000mAh Dual Chip","ou R$ 1.099,00",samsung
"Smartphone Samsung Galaxy A16 128GB Verde Claro 5G 4GB RAM 6,7"" FHD+ Câm Tripla até 50MP + Selfie 13MP Bateria 5000mAh","ou R$ 809,10",samsung
"Celular Samsung Galaxy A16 5G, 256GB + 8GB RAM, Câmera de até 50MP, Tela 6.7"", NFC, IP54, Bateria 5000 mAh","ou R$ 1.749,00",samsung
Smartphone Motorola Moto G35 5G 256GB 12GB Ram Boost e Camera 50MP com AI NFC Tela 6.7 com Superbrilho,"ou R$ 1.799,10",motorola
Smartphone Motorola Moto G75 5G 256GB 16GB Ram Boost 50MP Sony Camera Moto AI Ultrarresistencia Militar,"ou R$ 825,55",motorola
"Celular Samsung Galaxy M35 5G, Câmera Tripla até 50MP, Selfie 50MP, Tela Super AMOLED + 6.6 120Hz, 256GB, 8GB RAM","ou R$ 4.449,00",samsung
"Smartphone Positivo S650 Twist 5 Max 128GB Chumbo 4G Octa-Core 2GB RAM 6,5"" Câm. Dupla + Selfie 8MP Dual Chip","ou R$ 679,15",positivo
Smartphone xiaomi redmi 13c 4gb 128gb azul,"ou R$ 881,10",xiaomi
"Celular Samsung Galaxy A16, 256GB + 8GB RAM, Câmera de até 50MP, Tela 6.7"", NFC, IP54, Bateria 5000 mAh","ou R$ 679,00",samsung
Smartphone Xiaomi Redmi Note 14 8GB 256GB,"ou R$ 1.349,10",xiaomi
"Celular Realme C75 4G 256GB 8GB RAM Tela 6,72DOURADO","ou R$ 2.159,10",realme
Smartphone Navcity NP-752 Branco - Android 11 e Dual Chip,"ou R$ 1.052,10",navcity
